brand,name,cpu_brand,cpu,cpu_cores,cpu_threads,memory,storage,gpu_brand,gpu,price,rating,review_count,source,crawl_date
lenovo,Lenovo IdeaPad Gaming 3 82SB00V3IN Laptop (AMD Ryzen 5 6600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),amd,ryzen 5,6,12,16,512,nvidia,dedicated,769.7469879518072,63,0,sohaibdevv,2026-09-05
lenovo,Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),intel,core i3,6,8,8,512,intel,integrated,446.26506024096386,59,0,sohaibdevv,2026-09-05
asus,Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),intel,core i5,10,16,16,512,nvidia,dedicated,1144.4578313253012,70,0,sohaibdevv,2026-09-05
infinix,Infinix INBook X2 Slim Series XL23 2023 Laptop (11th Gen Core i5/ 16GB/ 1TB SSD/ Win 11 Home),intel,core i5,4,8,16,1024,intel,integrated,433.6144578313253,60,0,sohaibdevv,2026-09-05
asus,Asus Vivobook Pro 15 M6500RC-HN741WS Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),amd,ryzen 7,8,16,16,512,nvidia,dedicated,879.3975903614457,70,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fb1016AX  Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),amd,ryzen 5,6,12,8,512,nvidia,dedicated,674.5783132530121,67,0,sohaibdevv,2026-09-05
lenovo,Lenovo Yoga 7 82YM0074IN Laptop (AMD Ryzen 7 7735U/ 16GB/ 1TB SSD/ Win11 Home),amd,ryzen 7,8,16,16,1024,amd,integrated,1144.4578313253012,80,0,sohaibdevv,2026-09-05
hp,HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),intel,core i5,10,12,8,512,intel,integrated,624.0963855421687,57,0,sohaibdevv,2026-09-05
hp,HP Victus15-fb0147AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),amd,ryzen 5,6,12,8,512,amd,dedicated,599.6987951807229,62,0,sohaibdevv,2026-09-05
asus,Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),intel,core i5,6,12,8,512,nvidia,dedicated,650.4819277108434,66,0,sohaibdevv,2026-09-05
lenovo,Lenovo LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),intel,core i5,8,12,16,512,nvidia,dedicated,963.7349397590361,70,0,sohaibdevv,2026-09-05
msi,MSI Modern 15 B11M-061IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),intel,core i5,4,8,16,512,intel,integrated,505.90361445783134,63,0,sohaibdevv,2026-09-05
acer,Acer Aspire Lite AL15 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),amd,ryzen 5,6,12,16,512,amd,integrated,457.71084337349396,60,0,sohaibdevv,2026-09-05
asus,Asus Vivobook 14X K3405ZFB-KM752WS Laptop (12th Gen Core i7 /16GB/ 1TB SSD/Win11/ 4GB Graphic),intel,core i7,10,16,16,1024,nvidia,dedicated,1036.0240963855422,75,0,sohaibdevv,2026-09-05
acer,Acer Aspire Lite 2023 AL15-51 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),intel,core i5,4,8,8,512,intel,integrated,475.89156626506025,62,0,sohaibdevv,2026-09-05
infinix,Infinix Zerobook 13 ZL513 2023 Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win 11 Home),intel,core i7,14,20,32,1024,intel,integrated,698.6746987951807,63,0,sohaibdevv,2026-09-05
asus,Asus Vivobook 14X K3405ZFB-KM541WS Laptop (12th Gen Core i5 /16GB/512GB SSD/Win11),intel,core i5,8,12,16,512,nvidia,dedicated,819.156626506024,72,0,sohaibdevv,2026-09-05
acer,Acer Nitro 5 AN515-58 NH.QLZSI.001 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),intel,core i7,10,16,16,512,nvidia,dedicated,1144.4578313253012,72,0,sohaibdevv,2026-09-05
asus,Asus TUF Gaming F15 2022 FX507ZC4-HN115W Gaming Laptop (12th Gen Core i5/ 8GB/512GB SSD/ Win11 / 4GB Graph),intel,core i5,12,16,8,512,nvidia,dedicated,906.6265060240963,72,0,sohaibdevv,2026-09-05
acer,Acer Aspire 7 A715-76G NH.QMESI.002 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),intel,core i5,8,12,8,512,nvidia,dedicated,578.1927710843373,67,0,sohaibdevv,2026-09-05
asus,Asus Zenbook 14X OLED 2023 M5401QA-KM541WS Laptop (Ryzen 5 5600H / 16GB/ 512GB SSD/ Win11 Home),amd,ryzen 5,6,12,16,512,amd,integrated,807.1084337349398,64,0,sohaibdevv,2026-09-05
hp,HP Pavilion 15-eh2050AU Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB SSD/ Win11 Home),amd,ryzen 5,6,12,8,512,amd,integrated,526.5060240963855,62,0,sohaibdevv,2026-09-05
asus,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ952WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),intel,core i9,14,20,16,1024,nvidia,dedicated,1867.3493975903614,88,0,sohaibdevv,2026-09-05
acer,Acer Predator Helios Neo 16 PHN16-71 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),intel,core i7,16,24,16,512,nvidia,dedicated,1445.6626506024097,75,0,sohaibdevv,2026-09-05
